,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
0,Jamaal Williams,DET,20,87,2,6,53,2.7,34,1.7,0,,W
1,D'Andre Swift,DET,7,31,0,0,25,3.6,6,0.9,0,,W
2,Craig Reynolds,DET,6,13,0,,11,1.8,2,0.3,0,,W
3,Jared Goff,DET,2,8,0,0,8,4.0,0,0.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Dalvin Cook,MIN,17,96,1,7,60,3.5,36,2.1,2,8.5,W
6,Alexander Mattison,MIN,7,28,1,2,17,2.4,11,1.6,1,7.0,W
7,Kirk Cousins,MIN,1,-1,0,0,-1,-1.0,0,0.0,0,,W
0,Saquon Barkley,NYG,14,84,1,4,54,3.9,30,2.1,2,7.0,W
1,Daniel Jones,NYG,4,34,0,2,28,7.0,6,1.5,0,,W
2,Matt Breida,NYG,2,9,0,,5,2.5,4,2.0,0,,W
3,Gary Brightwell,NYG,1,-1,0,,-1,-1.0,0,0.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Dalvin Cook,MIN,14,64,0,2,35,2.5,29,2.1,1,14.0,W
6,Alexander Mattison,MIN,4,17,0,1,11,2.8,6,1.5,0,,W
7,Kirk Cousins,MIN,1,2,0,1,2,2.0,0,0.0,0,,W
0,David Montgomery,CHI,12,20,1,1,5,0.4,15,1.3,1,12.0,W
1,Justin Fields,CHI,8,47,0,3,26,3.3,21,2.6,1,8.0,W
2,Khalil Herbert,CHI,4,11,0,,7,1.8,4,1.0,0,,W
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
4,Dalvin Cook,MIN,18,94,2,6,66,3.7,28,1.6,2,9.0,W
5,Alexander Mattison,MIN,9,19,0,2,14,1.6,5,0.6,0,,W
6,Kirk Cousins,MIN,4,4,1,2,3,0.8,1,0.3,0,,W
0,Eno Benjamin,ARI,9,22,0,2,10,1.1,12,1.3,0,,W
1,Kyler Murray,ARI,6,36,0,0,33,5.5,3,0.5,0,,W
2,Darrel Williams,ARI,5,8,0,2,2,0.4,6,1.2,0,,W
3,Rondale Moore,ARI,2,12,0,1,10,5.0,2,1.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Dalvin Cook,MIN,20,111,1,6,61,3.1,50,2.5,1,20.0,W
6,Alexander Mattison,MIN,5,40,1,3,30,6.0,10,2.0,1,5.0,W
7,Kirk Cousins,MIN,4,22,1,2,19,4.8,3,0.8,0,,W
0,Dalvin Cook,MIN,20,76,0,2,48,2.4,28,1.4,2,10.0,W
1,Alexander Mattison,MIN,3,3,0,0,1,0.3,2,0.7,2,1.5,W
2,Justin Jefferson,MIN,1,3,1,1,3,3.0,0,0.0,0,,W
3,K.J. Osborn,MIN,1,-1,0,0,-1,-1.0,0,0.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Latavius Murray,NOR,11,57,1,4,42,3.8,15,1.4,0,,W
6,Mark Ingram,NOR,10,30,0,1,11,1.1,19,1.9,2,5.0,W
7,Taysom Hill,NOR,5,21,1,3,14,2.8,7,1.4,0,,W
8,Andy Dalton,NOR,1,3,0,0,2,2.0,1,1.0,0,,W
0,Dalvin Cook,MIN,17,47,0,1,27,1.6,20,1.2,0,,W
1,Kirk Cousins,MIN,2,-2,0,1,-2,-1.0,0,0.0,0,,W
2,Alexander Mattison,MIN,2,1,0,,1,0.5,0,0.0,0,,W
3,Justin Jefferson,MIN,1,10,0,1,7,7.0,3,3.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Brian Robinson Jr.,WAS,13,44,0,1,27,2.1,17,1.3,1,13.0,W
6,Antonio Gibson,WAS,11,36,0,3,21,1.9,15,1.4,0,,W
7,Taylor Heinicke,WAS,4,17,0,0,10,2.5,7,1.8,1,4.0,W
8,Armani Rogers,WAS,1,24,0,1,0,0.0,24,24.0,0,,W
9,Curtis Samuel,WAS,1,16,0,1,6,6.0,10,10.0,0,,W
0,Dalvin Cook,MIN,15,23,1,2,19,1.3,4,0.3,0,,L
1,Alexander Mattison,MIN,2,-1,0,,-1,-0.5,0,0.0,0,,L
2,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
3,Jamaal Williams,DET,16,37,0,,35,2.2,2,0.1,0,,L
4,D'Andre Swift,DET,6,21,0,1,14,2.3,7,1.2,0,,L
5,Justin Jackson,DET,4,19,1,1,19,4.8,0,0.0,0,,L
6,Jared Goff,DET,2,9,0,0,9,4.5,0,0.0,0,,L
7,C.J. Moore,DET,1,42,0,1,42,42.0,0,0.0,0,,L
8,Amon-Ra St. Brown,DET,1,6,0,1,6,6.0,0,0.0,0,,L
0,Dalvin Cook,MIN,9,27,0,1,10,1.1,17,1.9,0,,L
1,Alexander Mattison,MIN,8,38,0,1,25,3.1,13,1.6,0,,L
2,Kirk Cousins,MIN,3,37,0,2,35,11.7,2,0.7,0,,L
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
4,Aaron Jones,GNB,14,111,0,5,80,5.7,31,2.2,1,14.0,L
5,AJ Dillon,GNB,12,41,1,3,11,0.9,30,2.5,0,,L
6,Patrick Taylor,GNB,5,10,0,,4,0.8,6,1.2,0,,L
7,Jordan Love,GNB,1,-1,0,0,-1,-1.0,0,0.0,0,,L
8,Aaron Rodgers,GNB,1,2,1,1,0,0.0,2,2.0,0,,L
0,Dalvin Cook,MIN,13,77,1,1,16,1.2,61,4.7,1,13.0,W
1,Kirk Cousins,MIN,2,-5,0,0,-5,-2.5,0,0.0,0,,W
2,C.J. Ham,MIN,1,3,0,1,2,2.0,1,1.0,0,,W
3,Alexander Mattison,MIN,1,3,0,,1,1.0,2,2.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Raheem Mostert,MIA,14,49,0,2,30,2.1,19,1.4,0,,W
6,Chase Edmonds,MIA,2,3,0,,1,0.5,2,1.0,0,,W
7,Teddy Bridgewater,MIA,1,10,0,1,9,9.0,1,1.0,0,,W
8,Clayton Fejedelem,MIA,1,0,0,,0,0.0,0,0.0,0,,W
9,Alec Ingold,MIA,1,2,0,1,1,1.0,1,1.0,0,,W
10,Skylar Thompson,MIA,1,9,0,1,9,9.0,0,0.0,0,,W
0,Dalvin Cook,MIN,14,119,1,4,20,1.4,99,7.1,0,,W
1,Kirk Cousins,MIN,6,12,0,1,12,2.0,0,0.0,0,,W
2,Alexander Mattison,MIN,3,11,0,1,3,1.0,8,2.7,0,,W
3,C.J. Ham,MIN,1,3,1,1,3,3.0,0,0.0,0,,W
4,K.J. Osborn,MIN,1,2,0,1,0,0.0,2,2.0,1,1.0,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Devin Singletary,BUF,13,47,2,3,26,2.0,21,1.6,1,13.0,W
7,Josh Allen,BUF,6,84,0,4,62,10.3,22,3.7,0,,W
8,James Cook,BUF,5,22,0,,8,1.6,14,2.8,0,,W
9,Duke Johnson,BUF,2,4,0,1,1,0.5,3,1.5,0,,W
10,Isaiah McKenzie,BUF,1,18,0,1,18,18.0,0,0.0,0,,W
0,Zonovan Knight,NYJ,15,90,0,2,77,5.1,13,0.9,0,,W
1,James Robinson,NYJ,4,10,0,1,8,2.0,2,0.5,0,,W
2,Mike White,NYJ,3,7,1,2,5,1.7,2,0.7,0,,W
3,Ty Johnson,NYJ,1,3,0,,3,3.0,0,0.0,0,,W
4,Elijah Moore,NYJ,1,10,0,1,1,1.0,9,9.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Dalvin Cook,MIN,20,86,1,4,76,3.8,10,0.5,0,,W
7,Kirk Cousins,MIN,3,9,0,1,-2,-0.7,11,3.7,0,,W
8,Alexander Mattison,MIN,3,14,1,1,11,3.7,3,1.0,0,,W
9,Justin Jefferson,MIN,2,11,0,0,11,5.5,0,0.0,0,,W
10,Jalen Reagor,MIN,1,8,0,0,5,5.0,3,3.0,0,,W
0,Dalvin Cook,MIN,11,37,0,2,28,2.5,9,0.8,0,,W
1,Alexander Mattison,MIN,10,54,2,7,31,3.1,23,2.3,0,,W
2,Ty Chandler,MIN,6,20,0,1,8,1.3,12,2.0,0,,W
3,Kene Nwangwu,MIN,5,13,0,1,5,1.0,8,1.6,0,,W
4,Nick Mullens,MIN,4,8,0,1,7,1.8,1,0.3,0,,W
5,Jalen Reagor,MIN,1,5,0,0,4,4.0,1,1.0,0,,W
6,Adam Thielen,MIN,1,4,0,0,3,3.0,1,1.0,0,,W
7,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
8,Khalil Herbert,CHI,10,50,0,2,38,3.8,12,1.2,0,,W
9,David Montgomery,CHI,7,21,0,1,7,1.0,14,2.0,0,,W
10,Tim Boyle,CHI,2,-2,0,0,-2,-1.0,0,0.0,0,,W
11,Nathan Peterman,CHI,2,7,0,0,6,3.0,1,0.5,0,,W
12,Velus Jones Jr.,CHI,1,42,1,1,12,12.0,30,30.0,0,,W
0,Dalvin Cook,MIN,6,17,0,1,10,1.7,7,1.2,0,,L
1,Kirk Cousins,MIN,2,20,0,1,7,3.5,13,6.5,0,,L
2,Alexander Mattison,MIN,2,8,0,0,2,1.0,6,3.0,0,,L
3,Jalen Reagor,MIN,1,17,0,1,17,17.0,0,0.0,0,,L
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
5,Miles Sanders,PHI,17,80,0,5,42,2.5,38,2.2,0,,L
6,Jalen Hurts,PHI,11,57,2,3,47,4.3,10,0.9,3,3.7,L
7,Boston Scott,PHI,4,19,0,1,16,4.0,3,0.8,0,,L
8,Kenneth Gainwell,PHI,2,7,0,1,3,1.5,4,2.0,0,,L
0,Rhamondre Stevenson,NWE,7,36,0,2,22,3.1,14,2.0,0,,W
1,Damien Harris,NWE,5,16,0,1,12,2.4,4,0.8,0,,W
2,Kendrick Bourne,NWE,1,-7,0,0,-7,-7.0,0,0.0,0,,W
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
4,Dalvin Cook,MIN,22,42,0,0,38,1.7,4,0.2,0,,W
5,Alexander Mattison,MIN,3,11,0,1,9,3.0,2,0.7,0,,W
6,Kirk Cousins,MIN,1,-1,0,0,-1,-1.0,0,0.0,0,,W
7,K.J. Osborn,MIN,1,5,0,1,3,3.0,2,2.0,0,,W
0,Ezekiel Elliott,DAL,15,42,2,5,30,2.0,12,0.8,1,15.0,L
1,Tony Pollard,DAL,15,80,0,5,43,2.9,37,2.5,0,,L
2,Malik Davis,DAL,7,13,0,1,12,1.7,1,0.1,1,7.0,L
3,Dak Prescott,DAL,3,16,0,1,15,5.0,1,0.3,1,3.0,L
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
5,Dalvin Cook,MIN,11,72,0,3,59,5.4,13,1.2,0,,L
6,Kene Nwangwu,MIN,4,1,0,,-1,-0.3,2,0.5,0,,L
7,Alexander Mattison,MIN,2,0,0,,0,0.0,0,0.0,0,,L
0,AJ Dillon,GNB,10,45,1,4,30,3.0,15,1.5,1,10.0,W
1,Aaron Jones,GNB,5,49,0,3,25,5.0,24,4.8,0,,W
2,Romeo Doubs,GNB,1,11,0,1,11,11.0,0,0.0,0,,W
3,Aaron Rodgers,GNB,1,-1,0,0,-1,-1.0,0,0.0,0,,W
4,Christian Watson,GNB,1,7,0,0,7,7.0,0,0.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Dalvin Cook,MIN,20,90,0,5,56,2.8,34,1.7,2,10.0,W
7,Alexander Mattison,MIN,8,36,0,2,16,2.0,20,2.5,2,4.0,W
0,Zack Moss,IND,24,81,0,3,34,1.4,47,2.0,1,24.0,W
1,Deon Jackson,IND,13,55,0,2,25,1.9,30,2.3,0,,W
2,Matt Ryan,IND,3,0,0,0,0,0.0,0,0.0,0,,W
3,Michael Pittman Jr.,IND,2,30,0,2,24,12.0,6,3.0,0,,W
4,Ashton Dulin,IND,1,5,0,1,5,5.0,0,0.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Dalvin Cook,MIN,17,95,0,3,63,3.7,32,1.9,1,17.0,W
7,Kirk Cousins,MIN,2,0,0,0,-1,-0.5,1,0.5,0,,W
8,C.J. Ham,MIN,2,1,1,1,0,0.0,1,0.5,0,,W
9,Alexander Mattison,MIN,2,1,0,,0,0.0,1,0.5,0,,W
10,Jalen Reagor,MIN,1,-5,0,,-5,-5.0,0,0.0,0,,W
