,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
12,Raheem Mostert,MIA,2,1,-1,0,0,-1,-1.0,0,0.0,2.0,0,,0,0.0,0,56.2,W
13,Trent Sherfield,MIA,4,1,6,0,,6,6.0,0,0.0,6.3,0,,0,0.0,1,0.0,W
14,Tanner Conner,MIA,2,0,0,0,,0,,0,,6.0,0,,1,50.0,0,39.6,W
15,River Cracraft,MIA,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6,W
0,Justin Jefferson,MIN,16,10,193,1,8,161,16.1,32,3.2,13.2,1,10.0,1,6.3,1,99.2,W
1,T.J. Hockenson,MIN,10,7,45,0,2,30,4.3,15,2.1,5.1,1,7.0,1,10.0,0,79.2,W
2,Adam Thielen,MIN,7,5,49,0,2,38,7.6,11,2.2,10.1,0,,0,0.0,0,90.8,W
3,K.J. Osborn,MIN,11,4,35,0,1,19,4.8,16,4.0,9.5,0,,0,0.0,1,7.8,W
4,Dalvin Cook,MIN,5,3,27,0,1,-2,-0.7,29,9.7,-0.6,1,3.0,1,20.0,0,74.6,W
5,Alexander Mattison,MIN,1,1,8,0,0,-4,-4.0,12,12.0,-4.0,0,,0,0.0,0,100.0,W
6,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
7,Stefon Diggs,BUF,16,12,128,0,6,85,7.1,43,3.6,8.4,0,,0,0.0,0,97.9,W
8,Gabriel Davis,BUF,10,6,93,1,5,91,15.2,2,0.3,15.0,0,,1,10.0,1,84.6,W
9,Dawson Knox,BUF,6,4,57,0,3,31,7.8,26,6.5,10.5,0,,0,0.0,1,57.6,W
10,Isaiah McKenzie,BUF,4,4,37,0,3,20,5.0,17,4.3,5.0,0,,0,0.0,0,105.2,W
11,Nyheim Hines,BUF,1,1,9,0,,-4,-4.0,13,13.0,-4.0,1,1.0,0,0.0,0,104.2,W
12,Khalil Shakir,BUF,2,1,6,0,,4,4.0,2,2.0,3.5,0,,0,0.0,0,56.2,W
13,Devin Singletary,BUF,2,1,0,0,0,-6,-6.0,6,6.0,-2.0,0,,0,0.0,0,56.2,W
0,Garrett Wilson,NYJ,15,8,162,0,7,104,13.0,58,7.3,15.4,1,8.0,0,0.0,0,91.5,W
1,Ty Johnson,NYJ,7,6,38,0,,8,1.3,30,5.0,1.7,0,,0,0.0,0,89.3,W
2,Corey Davis,NYJ,10,5,85,0,5,51,10.2,34,6.8,10.3,1,5.0,0,0.0,2,39.6,W
3,Zonovan Knight,NYJ,5,5,28,0,1,-24,-4.8,52,10.4,-4.8,1,5.0,0,0.0,0,90.0,W
4,Tyler Conklin,NYJ,7,2,9,0,,2,1.0,7,3.5,6.3,0,,0,0.0,0,39.6,W
5,Elijah Moore,NYJ,6,2,7,0,0,-1,-0.5,8,4.0,9.7,0,,0,0.0,0,42.4,W
6,Braxton Berrios,NYJ,3,2,9,0,1,-5,-2.5,14,7.0,-1.3,0,,1,33.3,0,70.1,W
7,C.J. Uzomah,NYJ,1,1,31,0,1,17,17.0,14,14.0,17.0,0,,0,0.0,0,118.7,W
8,Denzel Mims,NYJ,1,0,0,0,,0,,0,,24.0,0,,0,0.0,0,39.6,W
9,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
10,Justin Jefferson,MIN,11,7,45,1,4,42,6.0,3,0.4,12.5,0,,2,18.2,0,102.5,W
11,T.J. Hockenson,MIN,6,4,33,0,3,23,5.8,10,2.5,8.7,1,4.0,0,0.0,0,80.6,W
12,Alexander Mattison,MIN,2,2,4,0,0,-11,-5.5,15,7.5,-5.5,1,2.0,0,0.0,0,79.2,W
13,Dalvin Cook,MIN,3,2,-3,0,0,-5,-2.5,2,1.0,-1.0,0,,0,0.0,0,70.1,W
14,K.J. Osborn,MIN,3,2,17,0,2,11,5.5,6,3.0,8.3,0,,0,0.0,0,81.2,W
15,Adam Thielen,MIN,6,2,27,0,1,30,15.0,-3,-1.5,12.5,0,,1,16.7,0,48.6,W
16,Johnny Mundt,MIN,1,1,12,0,1,0,0.0,12,12.0,0.0,0,,0,0.0,0,116.7,W
17,Jalen Reagor,MIN,1,1,38,0,1,38,38.0,0,0.0,38.0,0,,0,0.0,0,118.7,W
0,K.J. Osborn,MIN,6,5,117,0,4,70,14.0,47,9.4,17.0,0,,0,0.0,0,118.7,W
1,C.J. Ham,MIN,4,4,47,0,3,20,5.0,27,6.8,5.0,0,,0,0.0,0,115.6,W
2,Justin Jefferson,MIN,5,4,38,0,2,22,5.5,16,4.0,7.4,0,,0,0.0,0,98.3,W
3,Jalen Nailor,MIN,5,4,62,0,2,31,7.8,31,7.8,10.6,0,,0,0.0,1,78.7,W
4,Irv Smith Jr.,MIN,3,3,14,0,,9,3.0,5,1.7,3.0,0,,0,0.0,0,86.1,W
5,Adam Thielen,MIN,3,2,8,1,1,8,4.0,0,0.0,6.0,0,,0,0.0,0,109.7,W
6,Jalen Reagor,MIN,2,2,17,0,1,16,8.0,1,0.5,8.0,0,,0,0.0,0,102.1,W
7,Alexander Mattison,MIN,1,1,6,0,0,0,0.0,6,6.0,0.0,0,,0,0.0,0,91.7,W
8,Kene Nwangwu,MIN,1,1,16,0,1,-3,-3.0,19,19.0,-3.0,0,,0,0.0,0,118.7,W
9,T.J. Hockenson,MIN,1,1,16,0,1,5,5.0,11,11.0,5.0,1,1.0,0,0.0,0,118.7,W
10,Dalvin Cook,MIN,1,1,0,0,0,1,1.0,-1,-1.0,1.0,0,,0,0.0,0,79.2,W
11,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
12,Cole Kmet,CHI,5,4,57,1,4,5,1.3,52,13.0,2.8,1,4.0,0,0.0,0,153.7,W
13,Chase Claypool,CHI,6,2,29,0,2,23,11.5,6,3.0,23.5,0,,0,0.0,2,10.4,W
14,Dante Pettis,CHI,6,2,19,0,1,11,5.5,8,4.0,7.5,0,,1,16.7,0,43.1,W
15,Velus Jones Jr.,CHI,2,1,28,0,1,27,27.0,1,1.0,21.5,0,,0,0.0,0,95.8,W
16,Khalil Herbert,CHI,2,1,-1,0,0,-4,-4.0,3,3.0,-4.0,0,,1,50.0,0,56.2,W
17,Byron Pringle,CHI,1,1,5,0,,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5,W
18,N'Keal Harry,CHI,2,1,7,0,1,7,7.0,0,0.0,22.0,0,,0,0.0,0,58.3,W
19,Equanimeous St. Brown,CHI,1,1,3,0,,4,4.0,-1,-1.0,4.0,0,,0,0.0,0,79.2,W
20,Trestan Ebner,CHI,2,0,0,0,,0,,0,,-1.0,0,,0,0.0,0,39.6,W
0,Justin Jefferson,MIN,12,6,48,0,4,29,4.8,19,3.2,7.8,2,3.0,0,0.0,2,20.8,L
1,Irv Smith Jr.,MIN,8,5,36,1,3,21,4.2,15,3.0,7.9,0,,1,12.5,0,112.5,L
2,Dalvin Cook,MIN,6,4,19,0,2,0,0.0,19,4.8,-1.8,0,,1,16.7,0,70.8,L
3,Adam Thielen,MIN,7,4,52,0,3,51,12.8,1,0.3,11.4,0,,0,0.0,1,41.1,L
4,Alexander Mattison,MIN,5,3,6,0,1,-3,-1.0,9,3.0,-1.6,0,,1,20.0,0,64.6,L
5,Johnny Mundt,MIN,3,2,28,0,1,12,6.0,16,8.0,5.7,0,,1,33.3,0,96.5,L
6,K.J. Osborn,MIN,2,2,25,0,2,8,4.0,17,8.5,4.0,0,,0,0.0,0,118.7,L
7,Jalen Reagor,MIN,2,1,7,0,0,-1,-1.0,8,8.0,1.5,0,,0,0.0,0,58.3,L
8,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,L
9,DeVonta Smith,PHI,7,7,80,0,5,56,8.0,24,3.4,8.0,0,,0,0.0,0,114.3,L
10,A.J. Brown,PHI,8,5,69,0,2,35,7.0,34,6.8,13.9,0,,0,0.0,0,90.1,L
11,Dallas Goedert,PHI,6,5,82,0,4,31,6.2,51,10.2,7.7,0,,0,0.0,0,118.7,L
12,Miles Sanders,PHI,3,3,6,0,0,-5,-1.7,11,3.7,-1.7,0,,0,0.0,0,79.2,L
13,Zach Pascal,PHI,2,2,14,0,1,5,2.5,9,4.5,2.5,0,,0,0.0,0,95.8,L
14,Quez Watkins,PHI,2,2,69,1,1,66,33.0,3,1.5,33.0,0,,0,0.0,0,158.3,L
15,Kenneth Gainwell,PHI,2,1,11,0,0,2,2.0,9,9.0,3.0,1,1.0,1,50.0,1,27.1,L
16,Boston Scott,PHI,1,1,2,0,0,2,2.0,0,0.0,2.0,0,,0,0.0,0,79.2,L
0,Rhamondre Stevenson,NWE,10,9,76,0,2,-9,-1.0,85,9.4,-1.2,0,,1,10.0,0,98.3,W
1,Nelson Agholor,NWE,8,6,65,1,2,38,6.3,27,4.5,9.9,1,6.0,0,0.0,0,138.0,W
2,DeVante Parker,NWE,4,4,80,0,4,71,17.8,9,2.3,17.8,0,,0,0.0,0,118.7,W
3,Kendrick Bourne,NWE,4,3,36,0,1,22,7.3,14,4.7,6.8,0,,0,0.0,0,102.1,W
4,Hunter Henry,NWE,5,3,63,1,2,20,6.7,43,14.3,8.8,0,,0,0.0,0,143.7,W
5,Jakobi Meyers,NWE,4,3,62,0,3,57,19.0,5,1.7,21.5,0,,0,0.0,0,116.7,W
6,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
7,Justin Jefferson,MIN,11,9,139,1,5,99,11.0,40,4.4,9.8,0,,0,0.0,0,149.1,W
8,Adam Thielen,MIN,10,9,61,1,4,37,4.1,24,2.7,4.0,0,,0,0.0,0,125.4,W
9,T.J. Hockenson,MIN,6,5,43,1,3,23,4.6,20,4.0,4.2,0,,0,0.0,0,136.1,W
10,Dalvin Cook,MIN,5,4,14,0,2,-3,-0.8,17,4.3,-0.6,0,,1,20.0,0,79.2,W
11,Johnny Mundt,MIN,2,2,20,0,1,6,3.0,14,7.0,3.0,0,,0,0.0,0,108.3,W
12,K.J. Osborn,MIN,2,1,8,0,0,4,4.0,4,4.0,11.0,0,,0,0.0,1,20.8,W
13,Jalen Reagor,MIN,1,1,25,0,1,13,13.0,12,12.0,13.0,0,,0,0.0,0,118.7,W
0,Tony Pollard,DAL,6,6,109,2,4,6,1.0,103,17.2,1.0,0,,0,0.0,0,158.3,L
1,CeeDee Lamb,DAL,5,5,45,0,2,26,5.2,19,3.8,5.2,1,5.0,0,0.0,0,104.2,L
2,Michael Gallup,DAL,4,3,41,0,1,24,8.0,17,5.7,9.0,0,,0,0.0,0,107.3,L
3,Dalton Schultz,DAL,5,3,22,0,1,20,6.7,2,0.7,6.0,0,,0,0.0,0,70.4,L
4,Malik Davis,DAL,3,2,22,0,1,-1,-0.5,23,11.5,-2.0,0,,0,0.0,0,88.2,L
5,Jake Ferguson,DAL,2,2,15,0,1,3,1.5,12,6.0,1.5,0,,0,0.0,0,97.9,L
6,Noah Brown,DAL,2,2,42,0,1,36,18.0,6,3.0,18.0,0,,0,0.0,0,118.7,L
7,Jalen Tolbert,DAL,1,1,8,0,,7,7.0,1,1.0,7.0,0,,0,0.0,0,100.0,L
8,Ezekiel Elliott,DAL,1,1,5,0,0,2,2.0,3,3.0,2.0,0,,0,0.0,0,87.5,L
9,Peyton Hendershot,DAL,1,1,-2,0,,-3,-3.0,1,1.0,-3.0,0,,0,0.0,0,79.2,L
10,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,L
11,T.J. Hockenson,MIN,9,5,34,0,1,13,2.6,21,4.2,5.6,0,,1,11.1,0,64.1,L
12,Justin Jefferson,MIN,5,3,33,0,2,26,8.7,7,2.3,13.2,0,,0,0.0,0,79.6,L
13,Adam Thielen,MIN,3,2,25,0,2,25,12.5,0,0.0,10.3,0,,0,0.0,0,92.4,L
14,K.J. Osborn,MIN,3,2,17,0,2,2,1.0,15,7.5,8.3,0,,0,0.0,0,81.2,L
15,Alexander Mattison,MIN,1,1,8,0,,-6,-6.0,14,14.0,-6.0,0,,0,0.0,0,100.0,L
16,Jalen Reagor,MIN,1,1,14,0,1,14,14.0,0,0.0,14.0,0,,0,0.0,0,118.7,L
17,Kene Nwangwu,MIN,1,1,5,0,,3,3.0,2,2.0,3.0,0,,0,0.0,0,87.5,L
18,Jalen Nailor,MIN,3,1,15,0,1,10,10.0,5,5.0,6.3,0,,0,0.0,0,50.7,L
19,Johnny Mundt,MIN,1,1,8,0,1,7,7.0,1,1.0,7.0,0,,0,0.0,0,100.0,L
20,Dalvin Cook,MIN,1,0,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6,L
0,AJ Dillon,GNB,6,5,46,0,2,1,0.2,45,9.0,-0.7,1,5.0,1,16.7,0,98.6,W
1,Romeo Doubs,GNB,5,4,37,0,1,31,7.8,6,1.5,9.6,0,,0,0.0,0,97.5,W
2,Sammy Watkins,GNB,3,3,18,0,2,2,0.7,16,5.3,0.7,0,,0,0.0,0,91.7,W
3,Robert Tonyan,GNB,5,3,36,0,1,10,3.3,26,8.7,4.6,0,,0,0.0,0,82.1,W
4,Aaron Jones,GNB,5,3,27,0,1,-9,-3.0,36,12.0,-0.8,0,,0,0.0,0,74.6,W
5,Randall Cobb,GNB,3,2,14,0,2,10,5.0,4,2.0,18.3,0,,0,0.0,1,37.5,W
6,Christian Watson,GNB,4,2,34,0,1,14,7.0,20,10.0,14.8,0,,1,25.0,0,79.2,W
7,Josiah Deguara,GNB,2,2,28,0,2,18,9.0,10,5.0,9.0,0,,0,0.0,0,118.7,W
8,Juwann Winfree,GNB,1,1,17,0,1,12,12.0,5,5.0,12.0,0,,0,0.0,0,118.7,W
9,Tyler Davis,GNB,1,1,3,0,,1,1.0,2,2.0,1.0,0,,0,0.0,0,79.2,W
10,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
11,Justin Jefferson,MIN,11,9,184,2,7,103,11.4,81,9.0,10.7,0,,0,0.0,0,158.3,W
12,Johnny Mundt,MIN,3,3,17,0,1,3,1.0,14,4.7,1.0,0,,0,0.0,0,90.3,W
13,K.J. Osborn,MIN,4,3,14,0,,13,4.3,1,0.3,5.8,0,,0,0.0,0,79.2,W
14,Adam Thielen,MIN,4,3,36,0,2,24,8.0,12,4.0,6.8,0,,0,0.0,0,102.1,W
15,Dalvin Cook,MIN,5,3,18,0,1,-14,-4.7,32,10.7,-1.6,0,,0,0.0,0,67.1,W
16,C.J. Ham,MIN,1,1,6,0,1,-5,-5.0,11,11.0,-5.0,0,,0,0.0,0,91.7,W
17,Ben Ellefson,MIN,1,1,2,0,,1,1.0,1,1.0,1.0,0,,0,0.0,0,79.2,W
18,Irv Smith Jr.,MIN,2,0,0,0,,0,,0,,1.5,0,,0,0.0,0,39.6,W
0,Michael Pittman Jr.,IND,14,10,60,0,4,37,3.7,23,2.3,7.1,0,,1,7.1,0,79.5,W
1,Parris Campbell,IND,3,2,13,0,2,9,4.5,4,2.0,3.3,0,,0,0.0,0,75.7,W
2,Ashton Dulin,IND,2,2,25,0,2,21,10.5,4,2.0,10.5,0,,0,0.0,0,118.7,W
3,Kylen Granson,IND,2,2,34,0,1,32,16.0,2,1.0,16.0,0,,0,0.0,0,118.7,W
4,Jelani Woods,IND,1,1,36,0,1,10,10.0,26,26.0,10.0,0,,0,0.0,0,118.7,W
5,Jonathan Taylor,IND,1,1,13,0,,-6,-6.0,19,19.0,-6.0,0,,0,0.0,0,118.7,W
6,Deon Jackson,IND,1,1,1,1,1,-1,-1.0,2,2.0,-1.0,0,,0,0.0,0,118.7,W
7,Zack Moss,IND,1,0,0,0,0,0,,0,,1.0,0,,1,100.0,0,39.6,W
8,Alec Pierce,IND,5,0,0,0,,0,,0,,15.4,0,,0,0.0,0,39.6,W
9,Mo Alie-Cox,IND,1,0,0,0,,0,,0,,7.0,0,,0,0.0,0,39.6,W
10,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
11,Justin Jefferson,MIN,16,12,123,1,7,70,5.8,53,4.4,6.2,0,,0,0.0,0,117.4,W
12,K.J. Osborn,MIN,16,10,157,1,8,60,6.0,97,9.7,7.3,2,5.0,1,6.3,0,115.9,W
13,Dalvin Cook,MIN,4,4,95,1,3,-3,-0.8,98,24.5,-0.8,1,4.0,0,0.0,0,158.3,W
14,T.J. Hockenson,MIN,9,3,33,0,,12,4.0,21,7.0,12.2,0,,0,0.0,0,45.1,W
15,Adam Thielen,MIN,4,3,41,1,3,38,12.7,3,1.0,12.5,0,,0,0.0,0,146.9,W
16,Johnny Mundt,MIN,1,1,7,0,,0,0.0,7,7.0,0.0,0,,0,0.0,0,95.8,W
17,C.J. Ham,MIN,1,1,4,0,1,3,3.0,1,1.0,3.0,0,,0,0.0,0,83.3,W
18,Jalen Nailor,MIN,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6,W
19,Jalen Reagor,MIN,2,0,0,0,,0,,0,,22.0,0,,0,0.0,2,0.0,W
